group,combo,score
kpx_group_1,random_forest,0.6674996074237809
kpx_group_1,lgbm,0.6931133269382074
kpx_group_1,xgb,0.6946423920961612
kpx_group_1,random_forest+lgbm,0.6860486153756308
kpx_group_1,random_forest+xgb,0.6880869798526719
kpx_group_1,lgbm+xgb,0.6988364657218096
kpx_group_1,random_forest+lgbm+xgb,0.6933738555249157
kpx_group_2,random_forest,0.6705971735456534
kpx_group_2,lgbm,0.700921805566593
kpx_group_2,xgb,0.6995999334662881
kpx_group_2,random_forest+lgbm,0.6925943822990381
kpx_group_2,random_forest+xgb,0.6908689469753156
kpx_group_2,lgbm+xgb,0.7076420391245746
kpx_group_2,random_forest+lgbm+xgb,0.6993126782816217
kpx_group_3,random_forest,0.6185915465310179
kpx_group_3,lgbm,0.6515695476503374
kpx_group_3,xgb,0.6520856173330547
kpx_group_3,random_forest+lgbm,0.6378912336164108
kpx_group_3,random_forest+xgb,0.6382752676154394
kpx_group_3,lgbm+xgb,0.6557705214396445
kpx_group_3,random_forest+lgbm+xgb,0.6448836427368401
