experiment,group,tree_candidate,base_weight,score,nmae,ficr
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.8500000000000001,0.652986099651369,0.1256243368292141,0.43159653613195215
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.8500000000000001,0.652986099651369,0.1256243368292141,0.43159653613195215
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.7000000000000001,0.6527913480699373,0.12507915219657761,0.43066184833645227
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.7000000000000001,0.6527913480699373,0.12507915219657761,0.43066184833645227
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.8,0.6524308537318184,0.125073656470889,0.42993536393452586
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.8,0.6524308537318184,0.125073656470889,0.42993536393452586
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.6000000000000001,0.6522655151317263,0.12469481733353711,0.4292258475969897
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.6000000000000001,0.6522655151317263,0.12469481733353711,0.4292258475969897
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.75,0.6521160417550121,0.1245965529009408,0.4288286364109651
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.75,0.6521160417550121,0.1245965529009408,0.4288286364109651
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.8500000000000001,0.6520756395905439,0.12611578201412885,0.4302670611952168
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.8500000000000001,0.6520756395905439,0.12611578201412885,0.4302670611952168
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.9,0.652061928959183,0.12626230764264443,0.4303861655610105
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.9,0.652061928959183,0.12626230764264443,0.4303861655610105
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.75,0.6520049903858671,0.12536451804499166,0.4293744988167259
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.75,0.6520049903858671,0.12536451804499166,0.4293744988167259
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.65,0.6519828392758688,0.12485752023188956,0.4288231987836271
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.65,0.6519828392758688,0.12485752023188956,0.4288231987836271
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.65,0.6518755296193915,0.12386013102022675,0.4276111902590098
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.65,0.6518755296193915,0.12386013102022675,0.4276111902590098
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.6000000000000001,0.6516804564781524,0.12359736502894482,0.42695827798524977
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.6000000000000001,0.6516804564781524,0.12359736502894482,0.42695827798524977
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,1.0,0.6516687277485201,0.12775069227753513,0.4310881477745753
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,1.0,0.6516687277485201,0.12775069227753513,0.4310881477745753
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,1.0,0.6516687277485201,0.12775069227753513,0.4310881477745753
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,1.0,0.6516687277485201,0.12775069227753513,0.4310881477745753
current_best,kpx_group_2,none,1.0,0.6516687277485201,0.12775069227753513,0.4310881477745753
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.7000000000000001,0.6514608035305312,0.12419416657376126,0.42711577363482345
