variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn_only,2022,kpx_group_1,0.5997831397035692,0.13694956488437038,0.3365158442915089,8664,1.0,0.0,0.0
pinn_only,2022,kpx_group_2,0.6297069395168592,0.1492722514575674,0.40868613049128577,8664,1.0,0.0,0.0
pinn_only,2022,fold_mean,0.6147450396102142,0.1431109081709689,0.37260098739139735,17328,1.0,0.0,0.0
pinn_only,2023,kpx_group_1,0.5976127187706703,0.13592916607815156,0.33115460361949234,8757,1.0,0.0,0.0
pinn_only,2023,kpx_group_2,0.6440976336599499,0.14731477644090246,0.4355100437608022,8758,1.0,0.0,0.0
pinn_only,2023,kpx_group_3,0.5761693971984013,0.15845302572941533,0.310791820126218,8759,1.0,0.0,0.0
pinn_only,2023,fold_mean,0.6059599165430072,0.1472323227494898,0.35915215583550414,26274,1.0,0.0,0.0
pinn_only,2024,kpx_group_1,0.6169335125220121,0.12214357285528163,0.3560105978993059,8778,1.0,0.0,0.0
pinn_only,2024,kpx_group_2,0.6373200657069036,0.14506705501369538,0.41970718642750254,8778,1.0,0.0,0.0
pinn_only,2024,kpx_group_3,0.5999981396579304,0.13953299840007927,0.3395292777159399,8778,1.0,0.0,0.0
pinn_only,2024,fold_mean,0.618083905962282,0.13558120875635207,0.37174902068091614,26334,1.0,0.0,0.0
tree_only,2022,kpx_group_1,0.6357868006725249,0.1280835062268648,0.3996571075719146,8664,0.0,1.0,0.0
tree_only,2022,kpx_group_2,0.6430414192885756,0.12162425318132997,0.40770709175848113,8664,0.0,1.0,0.0
tree_only,2022,fold_mean,0.6394141099805503,0.12485387970409738,0.40368209966519786,17328,0.0,1.0,0.0
tree_only,2023,kpx_group_1,0.6026097110747537,0.1298882687735122,0.33510769092301973,8757,0.0,1.0,0.0
tree_only,2023,kpx_group_2,0.6406867621392527,0.1266845773120981,0.4080581015906034,8758,0.0,1.0,0.0
tree_only,2023,kpx_group_3,0.5735908165837731,0.15379195945993107,0.3009735926274773,8759,0.0,1.0,0.0
tree_only,2023,fold_mean,0.6056290965992598,0.13678826851518044,0.3480464617137002,26274,0.0,1.0,0.0
tree_only,2024,kpx_group_1,0.6271344481334954,0.11586189223768527,0.37013078850467607,8778,0.0,1.0,0.0
tree_only,2024,kpx_group_2,0.6692543247669589,0.11764282704294941,0.4561514765768671,8778,0.0,1.0,0.0
tree_only,2024,kpx_group_3,0.584162001735179,0.13435093653529334,0.3026749400056513,8778,0.0,1.0,0.0
tree_only,2024,fold_mean,0.6268502582118777,0.12261855193864268,0.3763190683623982,26334,0.0,1.0,0.0
tcn_family_only,2022,kpx_group_1,0.613863225134983,0.13485306731837915,0.3625795175883452,8664,0.0,0.0,1.0
tcn_family_only,2022,kpx_group_2,0.6298428987297996,0.1369529067389053,0.3966387041985045,8664,0.0,0.0,1.0
tcn_family_only,2022,fold_mean,0.6218530619323913,0.13590298702864223,0.37960911089342486,17328,0.0,0.0,1.0
tcn_family_only,2023,kpx_group_1,0.6274407481092,0.14005871486567972,0.3949402110840798,8757,0.0,0.0,1.0
tcn_family_only,2023,kpx_group_2,0.6366880931932575,0.14245538194327823,0.41583156832979307,8758,0.0,0.0,1.0
tcn_family_only,2023,kpx_group_3,0.5701112028958418,0.16335205748490134,0.30357446327658505,8759,0.0,0.0,1.0
tcn_family_only,2023,fold_mean,0.6114133480660997,0.14862205143128643,0.371448747563486,26274,0.0,0.0,1.0
tcn_family_only,2024,kpx_group_1,0.6467327636512391,0.12048448791933479,0.4139500152218129,8778,0.0,0.0,1.0
tcn_family_only,2024,kpx_group_2,0.6605689315496673,0.12572145557335015,0.44685931867268486,8778,0.0,0.0,1.0
tcn_family_only,2024,kpx_group_3,0.5804815976842801,0.14198919075317484,0.3029523861217351,8778,0.0,0.0,1.0
tcn_family_only,2024,fold_mean,0.6292610976283955,0.12939837808195326,0.3879205733387443,26334,0.0,0.0,1.0
pinn50_tree50,2022,kpx_group_1,0.6254292125572256,0.1275771378442306,0.37843556295868175,8664,0.5,0.5,0.0
pinn50_tree50,2022,kpx_group_2,0.6459407129501202,0.12809013064644034,0.41997155654668084,8664,0.5,0.5,0.0
pinn50_tree50,2022,fold_mean,0.6356849627536729,0.12783363424533548,0.3992035597526813,17328,0.5,0.5,0.0
pinn50_tree50,2023,kpx_group_1,0.605126727477772,0.1292871097628895,0.33954056471843347,8757,0.5,0.5,0.0
pinn50_tree50,2023,kpx_group_2,0.6555689346703453,0.13111143188925703,0.4422493012299476,8758,0.5,0.5,0.0
pinn50_tree50,2023,kpx_group_3,0.580136239904185,0.1518334420091814,0.31210592181755115,8759,0.5,0.5,0.0
