group,turbine_id,tcn_epochs,n_features,window,hidden_size,num_layers,kernel_size,target_share_alpha,static_share,include_issue_context
kpx_group_1,vestas_wtg01,4,75,72,128,3,3,0.5,0.17799638868647752,True
kpx_group_1,vestas_wtg02,5,75,72,128,3,3,0.5,0.18053328557556633,True
kpx_group_1,vestas_wtg03,7,75,72,128,3,3,0.5,0.19787456906782624,True
kpx_group_1,vestas_wtg04,3,75,72,128,3,3,0.5,0.1688484249233065,True
kpx_group_1,vestas_wtg05,3,75,72,128,3,3,0.5,0.13737670577421998,True
kpx_group_1,vestas_wtg06,3,75,72,128,3,3,0.5,0.13737062597260333,True
kpx_group_2,vestas_wtg07,6,75,72,128,3,3,0.5,0.10935280012170216,True
kpx_group_2,vestas_wtg08,4,75,72,128,3,3,0.5,0.15417595442560678,True
kpx_group_2,vestas_wtg09,3,75,72,128,3,3,0.5,0.16448059554664946,True
kpx_group_2,vestas_wtg10,4,75,72,128,3,3,0.5,0.2081092151072135,True
kpx_group_2,vestas_wtg11,4,75,72,128,3,3,0.5,0.1971296293129618,True
kpx_group_2,vestas_wtg12,2,75,72,128,3,3,0.5,0.16675180548586632,True
kpx_group_3,unison_wtg01,10,75,72,128,3,3,0.5,0.1791473584590684,True
kpx_group_3,unison_wtg02,8,75,72,128,3,3,0.5,0.14520616855669272,True
kpx_group_3,unison_wtg03,8,75,72,128,3,3,0.5,0.21861985308531423,True
kpx_group_3,unison_wtg04,4,75,72,128,3,3,0.5,0.21502853874091218,True
kpx_group_3,unison_wtg05,2,75,72,128,3,3,0.5,0.24199808115801247,True
