group,nmae,ficr,score,stage,teacher,manufacturer
kpx_group_1,0.124917972721838,0.3443894768960266,0.6097357520870943,physics_only,rf,vestas
kpx_group_2,0.1394926875671569,0.43622948737575895,0.6483683999043011,physics_only,rf,vestas
kpx_group_1,0.12099940886858851,0.3740306174466877,0.6265156042890496,with_bias,rf,vestas
kpx_group_2,0.13239641751266437,0.42510855656363883,0.6463560695254872,with_bias,rf,vestas
kpx_group_3,0.13909641364121253,0.34034621198562703,0.6006248991722073,physics_only,rf,unison
kpx_group_3,0.13940068909599548,0.33919567204140766,0.5998974914727061,with_bias,rf,unison
kpx_group_1,0.12394539469365934,0.33550195057931137,0.605778277942826,physics_only,rf_hist_gbr_avg,vestas
kpx_group_2,0.13849291884791534,0.4322558030002743,0.6468814420761795,physics_only,rf_hist_gbr_avg,vestas
kpx_group_1,0.11988681456960056,0.3799204964030133,0.6300168409167064,with_bias,rf_hist_gbr_avg,vestas
kpx_group_2,0.1329413948118412,0.42255076014825455,0.6448046826682067,with_bias,rf_hist_gbr_avg,vestas
kpx_group_3,0.13725400427698448,0.34036907829340557,0.6015575370082105,physics_only,rf_hist_gbr_avg,unison
kpx_group_3,0.13745372381555077,0.3405031641277478,0.6015247201560985,with_bias,rf_hist_gbr_avg,unison
