group,nmae,ficr,score,stage,variant
kpx_group_1,0.12278876849310193,0.3850185742798575,0.6311149028933778,physics_only,meteo_cubic
kpx_group_2,0.13062008684896245,0.4014303008806544,0.635405107015846,physics_only,meteo_cubic
kpx_group_1,0.12254908271137771,0.3761647028042265,0.6268078100464244,with_bias,meteo_cubic
kpx_group_2,0.13042286874403797,0.40302255232673084,0.6362998417913465,with_bias,meteo_cubic
kpx_group_3,0.1426636507530952,0.31975175484549345,0.5885440520461991,physics_only,meteo_cubic
kpx_group_3,0.14206382824070057,0.33634689336601503,0.5971415325626572,with_bias,meteo_cubic
kpx_group_1,0.1264533872061456,0.3752839421526162,0.6244152774732352,physics_only,meteo_p90
kpx_group_2,0.12985661215743807,0.42130678076556644,0.6457250843040642,physics_only,meteo_p90
kpx_group_1,0.1256164386148735,0.3585519217589147,0.6164677415720206,with_bias,meteo_p90
kpx_group_2,0.12918578924963245,0.4187658869152873,0.6447900488328274,with_bias,meteo_p90
kpx_group_3,0.1427204134269292,0.33091781894094424,0.5940987027570075,physics_only,meteo_p90
kpx_group_3,0.14168165462483198,0.3332354652915145,0.5957769053333413,with_bias,meteo_p90
kpx_group_1,0.12399507839950644,0.38086499196573753,0.6284349567831156,physics_only,meteo_mix_cubic_p90
kpx_group_2,0.12958304190013106,0.4164550126091138,0.6434359853544913,physics_only,meteo_mix_cubic_p90
kpx_group_1,0.12327834258401242,0.37076420260686416,0.6237429300114259,with_bias,meteo_mix_cubic_p90
kpx_group_2,0.12929866775953155,0.41615070027198814,0.6434260162562283,with_bias,meteo_mix_cubic_p90
kpx_group_3,0.14248965710443237,0.3255203992813794,0.5915153710884735,physics_only,meteo_mix_cubic_p90
kpx_group_3,0.14175442701975705,0.3302489453716893,0.5942472591759661,with_bias,meteo_mix_cubic_p90
