group,nmae,ficr,score,stage,variant,manufacturer
kpx_group_1,0.12256801517367372,0.3903840707794089,0.6339080278028676,physics_only,pw_mean,vestas
kpx_group_2,0.1300400412192763,0.4129112309891036,0.6414355948849136,physics_only,pw_mean,vestas
kpx_group_1,0.1217059338278789,0.37065662861404086,0.624475347393081,with_bias,pw_mean,vestas
kpx_group_2,0.12983206145463322,0.41226395296286134,0.641215945754114,with_bias,pw_mean,vestas
kpx_group_3,0.13793187095353085,0.34535319638605033,0.6037106627162597,physics_only,pw_mean,unison
kpx_group_3,0.13726218382685546,0.3469572483573902,0.6048475322652673,with_bias,pw_mean,unison
kpx_group_1,0.12346403167901286,0.3818509662164935,0.6291934672687403,physics_only,pw_cubic,vestas
kpx_group_2,0.12986756601866523,0.4145099028293764,0.6423211684053556,physics_only,pw_cubic,vestas
kpx_group_1,0.12231090456975965,0.3683175785323891,0.6230033369813147,with_bias,pw_cubic,vestas
kpx_group_2,0.12999237258635546,0.41632149509931227,0.6431645612564785,with_bias,pw_cubic,vestas
kpx_group_3,0.13842992751898436,0.34446616119942974,0.6030181168402227,physics_only,pw_cubic,unison
kpx_group_3,0.13791304450153574,0.34515735663102975,0.603622156064747,with_bias,pw_cubic,unison
kpx_group_1,0.12448391727228644,0.38285683661201264,0.6291864596698631,physics_only,mix_pw_cubic_p90,vestas
kpx_group_2,0.13015853918257228,0.4185764204516446,0.6442089406345362,physics_only,mix_pw_cubic_p90,vestas
kpx_group_1,0.12334535668774525,0.3665636113523591,0.6216091273323069,with_bias,mix_pw_cubic_p90,vestas
kpx_group_2,0.12957005102068328,0.41560012080616376,0.6430150348927403,with_bias,mix_pw_cubic_p90,vestas
kpx_group_3,0.13824979802178916,0.3410514068376119,0.6014008044079113,physics_only,mix_pw_cubic_p90,unison
kpx_group_3,0.13818728576060033,0.33835133602290735,0.6000820251311535,with_bias,mix_pw_cubic_p90,unison
