number,value,datetime_start,datetime_complete,duration,params_gamma,params_lambda_bc,params_lambda_betz,params_lambda_day,params_lambda_flat,params_lambda_hour,params_lambda_month,params_lambda_smooth,system_attrs_fixed_params,state
17,0.5375861764331461,2026-07-06 18:25:57.344140,2026-07-06 18:26:13.229576,0 days 00:00:15.885436,0.039709016191988696,0.004598334508698543,2.026253819683706,0.0003589423068668111,0.2930203005161716,0.00020613269504930753,1.2248291421767745e-05,0.004331969897949324,,COMPLETE
31,0.5371026202468246,2026-07-06 18:29:10.978129,2026-07-06 18:29:22.276118,0 days 00:00:11.297989,0.009258393647332228,0.01649719198900131,0.6322948194188617,0.00021185933194177044,0.7106879171805176,9.705537432253027e-05,1.053165774809841e-05,0.02553646347930357,,COMPLETE
19,0.5369483286428596,2026-07-06 18:26:28.935992,2026-07-06 18:26:44.679656,0 days 00:00:15.743664,0.005474444735283697,0.022976734986183186,1.2686053531799795,0.0001881359319340684,0.2757666176872139,1.439077578902795e-05,0.0017808855493029495,0.004016767426631893,,COMPLETE
30,0.5366042633003986,2026-07-06 18:28:58.827263,2026-07-06 18:29:10.978129,0 days 00:00:12.150866,0.008173764136576417,0.016069527239134296,3.961140717177237,0.0002488205826390863,0.6632154310822772,0.00010873869038347839,0.0001291825102152076,0.025703916166446707,,COMPLETE
12,0.5363895140939956,2026-07-06 18:24:50.941606,2026-07-06 18:25:03.043894,0 days 00:00:12.102288,0.022526832577530617,0.006450403403698709,0.07445795323509556,0.00021015965322754914,0.05250622240280022,0.00041372245854243015,0.001246432650174499,0.10262150819256623,,COMPLETE
4,0.53634998737814,2026-07-06 18:23:10.065085,2026-07-06 18:23:22.973430,0 days 00:00:12.908345,0.02454685847046357,0.004347671160684961,0.1353816881434355,0.0007745278899860433,0.00808523805176744,0.00039391242679303706,2.6598136377322282e-05,0.06348643772797871,,COMPLETE
2,0.5362662719188437,2026-07-06 18:22:42.868568,2026-07-06 18:22:55.944123,0 days 00:00:13.075555,0.015707103016225295,0.0013949440449233046,0.1519999207386952,0.0005190129283955501,0.02441936181750176,0.00012580373661872531,0.00025984876952648406,0.014521500308283572,,COMPLETE
10,0.5357608681004912,2026-07-06 18:24:27.130762,2026-07-06 18:24:38.417517,0 days 00:00:11.286755,0.022407873786032893,0.11675433408201671,0.014617518178029186,2.2443280240723864e-05,0.0012368246287247863,0.6125045715039347,0.9897716862192687,0.7833853499447643,,COMPLETE
11,0.5355425129108009,2026-07-06 18:24:38.417517,2026-07-06 18:24:50.941606,0 days 00:00:12.524089,0.019288247816147085,0.008678912733855284,0.08226163958538049,0.0005601227548040352,0.015773135361599768,4.0525282958517276e-05,0.0013858233123383206,0.046722574327406036,,COMPLETE
37,0.535077543082039,2026-07-06 18:30:21.813533,2026-07-06 18:30:34.064919,0 days 00:00:12.251386,0.01491748589874217,0.1743873686449506,1.101782168882631,1.5145268541649431e-05,0.715841303533376,0.000266322360980812,1.5890873136455354e-05,0.003695078976245881,,COMPLETE
