trial,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,group,pred_year,train_years,score,nmae,ficr,n_train,n_val
0,0.1,metric_x2,20260708000,-1,-1,huber,587,0.04084468889763221,32,6,40,0.9105480742251946,0.7972809642609335,0.0003267022197156719,5.910793467329622,0.01846246482169325,kpx_group_1,2022,"2023,2024",0.4858983039312692,0.21030341562718669,0.18210002348972515,10498,8664
0,0.1,metric_x2,20260708000,-1,-1,huber,587,0.04084468889763221,32,6,40,0.9105480742251946,0.7972809642609335,0.0003267022197156719,5.910793467329622,0.01846246482169325,kpx_group_1,2023,"2022,2024",0.4492267825677486,0.23710475192258207,0.13555831705807936,10405,8757
0,0.1,metric_x2,20260708000,-1,-1,huber,587,0.04084468889763221,32,6,40,0.9105480742251946,0.7972809642609335,0.0003267022197156719,5.910793467329622,0.01846246482169325,kpx_group_1,2024,"2022,2023",0.4522604904238765,0.23312142661957513,0.13764240746732817,10925,8778
1,0.15,actual_sqrt,20260708001,-1,-1,huber,1181,0.04893193879777676,32,4,40,0.8977284665247643,0.5883774064978761,0.09533261785107655,0.10742351567892242,3.15548789853951e-05,kpx_group_1,2022,"2023,2024",0.5075985191816801,0.223516251456542,0.2387132898199022,9397,8664
1,0.15,actual_sqrt,20260708001,-1,-1,huber,1181,0.04893193879777676,32,4,40,0.8977284665247643,0.5883774064978761,0.09533261785107655,0.10742351567892242,3.15548789853951e-05,kpx_group_1,2023,"2022,2024",0.45943549907064785,0.2416555013603012,0.16052649950159686,9313,8757
1,0.15,actual_sqrt,20260708001,-1,-1,huber,1181,0.04893193879777676,32,4,40,0.8977284665247643,0.5883774064978761,0.09533261785107655,0.10742351567892242,3.15548789853951e-05,kpx_group_1,2024,"2022,2023",0.46753046895624006,0.23731134421654382,0.1723722821290239,9784,8778
2,0.0,none,20260708002,-1,-1,huber,1287,0.027300030702336824,16,6,220,0.9006793534364514,0.712330882667724,0.0039030854086180193,0.009599714518396184,0.004891415013000463,kpx_group_1,2022,"2023,2024",0.4428964165771891,0.23586106720035893,0.12165390035473714,17535,8664
2,0.0,none,20260708002,-1,-1,huber,1287,0.027300030702336824,16,6,220,0.9006793534364514,0.712330882667724,0.0039030854086180193,0.009599714518396184,0.004891415013000463,kpx_group_1,2023,"2022,2024",0.41794334460778876,0.27018727301548523,0.10607396223106283,17442,8757
2,0.0,none,20260708002,-1,-1,huber,1287,0.027300030702336824,16,6,220,0.9006793534364514,0.712330882667724,0.0039030854086180193,0.009599714518396184,0.004891415013000463,kpx_group_1,2024,"2022,2023",0.42150898124405783,0.2618096667953139,0.10482762928342962,17421,8778
3,0.05,actual_sqrt,20260708003,-1,-1,regression_l1,1054,0.045487674385340335,24,8,220,0.7569962401386111,0.588867590707072,0.0013790347842763256,11.930576329347899,0.00020705362712397697,kpx_group_1,2022,"2023,2024",0.629251006632936,0.12799175747605762,0.38649377074192953,11926,8664
3,0.05,actual_sqrt,20260708003,-1,-1,regression_l1,1054,0.045487674385340335,24,8,220,0.7569962401386111,0.588867590707072,0.0013790347842763256,11.930576329347899,0.00020705362712397697,kpx_group_1,2023,"2022,2024",0.6047718149577653,0.13078741848437833,0.340331048399909,11818,8757
3,0.05,actual_sqrt,20260708003,-1,-1,regression_l1,1054,0.045487674385340335,24,8,220,0.7569962401386111,0.588867590707072,0.0013790347842763256,11.930576329347899,0.00020705362712397697,kpx_group_1,2024,"2022,2023",0.628946387448434,0.11654772212656073,0.37444049702342874,12408,8778
4,0.03,none,20260708004,-1,-1,regression,1262,0.031590103439975634,64,6,300,0.8384997734305406,0.7096197665437856,0.0002114502813655607,37.312321580148,8.89274564108488e-05,kpx_group_1,2022,"2023,2024",0.6364486747554683,0.12304568222242816,0.39594303173336476,12760,8664
4,0.03,none,20260708004,-1,-1,regression,1262,0.031590103439975634,64,6,300,0.8384997734305406,0.7096197665437856,0.0002114502813655607,37.312321580148,8.89274564108488e-05,kpx_group_1,2023,"2022,2024",0.5942685274611889,0.1338748633220213,0.32241191824439897,12674,8757
4,0.03,none,20260708004,-1,-1,regression,1262,0.031590103439975634,64,6,300,0.8384997734305406,0.7096197665437856,0.0002114502813655607,37.312321580148,8.89274564108488e-05,kpx_group_1,2024,"2022,2023",0.6203348731176771,0.11944983405515085,0.36011958029050506,13270,8778
5,0.03,actual_sqrt,20260708005,-1,-1,huber,1619,0.01891737034480249,64,10,40,0.9472813915690839,0.8300043622227089,4.0510096596642216,0.38317106426463504,0.00031267391583672104,kpx_group_1,2022,"2023,2024",0.48397315616093556,0.2094243808191573,0.17737069314102838,12760,8664
5,0.03,actual_sqrt,20260708005,-1,-1,huber,1619,0.01891737034480249,64,10,40,0.9472813915690839,0.8300043622227089,4.0510096596642216,0.38317106426463504,0.00031267391583672104,kpx_group_1,2023,"2022,2024",0.4470227871089818,0.23727619760438698,0.13132177182235066,12674,8757
5,0.03,actual_sqrt,20260708005,-1,-1,huber,1619,0.01891737034480249,64,10,40,0.9472813915690839,0.8300043622227089,4.0510096596642216,0.38317106426463504,0.00031267391583672104,kpx_group_1,2024,"2022,2023",0.4506350475887577,0.2332320781760424,0.13450217335355788,13270,8778
6,0.1,actual_sqrt,20260708006,-1,-1,huber,933,0.015811024605232902,48,7,20,0.7491742967359039,0.6466735665895897,0.00043094929020590783,0.017568690629272753,0.012589534680493647,kpx_group_1,2022,"2023,2024",0.49855159888851025,0.21643520154167756,0.21353839931869803,10498,8664
6,0.1,actual_sqrt,20260708006,-1,-1,huber,933,0.015811024605232902,48,7,20,0.7491742967359039,0.6466735665895897,0.00043094929020590783,0.017568690629272753,0.012589534680493647,kpx_group_1,2023,"2022,2024",0.4543704308995815,0.2388380849426175,0.14757894674178057,10405,8757
