group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_1,3,0.6209897363463784,0.1251089660289989,0.3670884387217557,0.6047718149577653,0.011468476470665654,0.05,actual_sqrt,20260708003,-1,-1,regression_l1,1054,0.045487674385340335,24,8,220,0.7569962401386111,0.588867590707072,0.0013790347842763256,11.930576329347899,0.00020705362712397697
kpx_group_1,9,0.6189149921222586,0.1251418359805031,0.3629718202250205,0.5990758277293192,0.014145969459051404,0.05,actual_sqrt,20260708009,-1,-1,regression_l1,854,0.02207411133397523,128,10,120,0.979519744573332,0.8728325712117458,0.038302156279833986,0.0016411778980631208,0.017238480936560933
kpx_group_1,4,0.617017358444778,0.12545679319986677,0.3594915100894229,0.5942685274611889,0.01737902249160277,0.03,none,20260708004,-1,-1,regression,1262,0.031590103439975634,64,6,300,0.8384997734305406,0.7096197665437856,0.0002114502813655607,37.312321580148,8.89274564108488e-05
kpx_group_1,7,0.6168643372124536,0.12371648563185376,0.3574451600567609,0.5939777482424144,0.017702642069828453,0.1,none,20260708007,-1,-1,regression_l1,1514,0.015131043464080519,128,10,60,0.8440055255887966,0.6720372729113241,0.0008118761262782181,0.6163787035580538,0.005482010131431927
kpx_group_1,18,0.616523020498806,0.12784837394625617,0.36089441494386804,0.5951515575083998,0.015614904723969652,0.15,actual_sqrt,20260708018,-1,-1,regression_l1,1514,0.016952564442423722,64,10,40,0.8087417886920765,0.796823222564123,0.028802139016690435,0.10720217631870989,0.06698381665232427
kpx_group_1,14,0.615883589134582,0.12495347243769721,0.35672065070686115,0.5952605601203886,0.015647998113529602,0.05,metric_x2,20260708014,-1,-1,regression,1719,0.020499429586959602,128,10,160,0.9279061121132349,0.6138237037211403,0.9048482310094343,36.57129337584137,1.3526287031799115e-05
kpx_group_1,16,0.6146026282705256,0.12711693433747187,0.35632219087852307,0.5918124496405338,0.01674932112972526,0.15,none,20260708016,-1,-1,regression_l1,1456,0.02572036968314339,128,6,80,0.6660938353963323,0.7832770075905162,0.013883982274586933,1.274847501816731,0.0014868346960627097
kpx_group_1,17,0.6135760147923056,0.12658997768113317,0.35374200726574423,0.5923190203054609,0.0158862570271505,0.03,metric_x2,20260708017,-1,-1,regression,1193,0.03992497206987333,24,8,220,0.984646177979004,0.6017580854686861,0.0023883303074618374,0.016354652433978947,0.0013496759466442572
kpx_group_1,10,0.6127840771016653,0.1259567120329914,0.351524866236322,0.5937489791179935,0.015378675058510873,0.05,none,20260708010,-1,-1,regression_l1,948,0.06845650377534093,64,-1,60,0.6272385111987807,0.671244395598728,0.005700682936596386,0.0012356811157888314,0.0015541496161816891
kpx_group_1,12,0.612758991623478,0.1276366886877772,0.35315467193473343,0.5894596033053534,0.01737328776869723,0.15,none,20260708012,-1,-1,regression_l1,787,0.02630321188989036,128,10,60,0.9217071682853347,0.9595630455792192,0.007994583363875023,6.596852127460859,0.06719608225283191
