group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_1,8,0.6225943053910984,0.12468166684398034,0.3698702776261771,0.6047121027329907,0.01275414179262998,0.1,actual_sqrt,20260709008,-1,-1,regression_l1,1646,0.020399159375836157,128,6,80,0.8184083163781046,0.7571670023772495,0.008184013191028251,1.813990070982558,0.02655337838810678
kpx_group_1,2,0.6221047646482275,0.1256054033622016,0.36981493265865656,0.6022649161257156,0.014046893051112239,0.1,actual_sqrt,20260709002,-1,-1,regression_l1,1234,0.0173072951164432,96,4,40,0.7874838489116258,0.801352555295243,0.09324704634135494,2.984746202314795,0.13570195694111617
kpx_group_1,11,0.6202892383906732,0.12464719140891413,0.3652256681902603,0.6006989751637908,0.013951311158001444,0.1,actual_sqrt,20260709011,-1,-1,regression_l1,898,0.02482941831993332,96,-1,80,0.7163402888014279,0.6342663393926152,0.00020262202150495633,4.452094789788568,5.3759393687707615e-05
kpx_group_1,9,0.6201684824521579,0.12807441268095307,0.36841137758526904,0.6024000449433816,0.012582800125304204,0.15,actual_sqrt,20260709009,-1,-1,regression_l1,1752,0.024164669649208336,128,8,220,0.746837480789915,0.7155859480834436,0.0004242272287951247,0.006286812157453069,0.15481170942288286
kpx_group_1,1,0.6189920028482733,0.12378983533987849,0.361773841036425,0.6004026675989237,0.013379083435562713,0.1,metric_x2,20260709001,-1,-1,regression_l1,1761,0.021192439483362826,24,10,300,0.9051102471009851,0.850264228328493,0.10137742348398668,18.496357965374415,0.008801889951283047
kpx_group_1,13,0.6180291468585337,0.12405185495626114,0.3601101486733287,0.5960470833497651,0.015588318224410872,0.03,metric_x2,20260709013,-1,-1,regression_l1,955,0.025208724080826014,64,10,300,0.7101911777923939,0.7678469486111262,0.055606497789802554,0.23919962586340562,0.008690523510825313
kpx_group_1,0,0.6174703971878694,0.1285082845350825,0.3634490789108214,0.5969624863625167,0.014614830014922725,0.15,actual_sqrt,20260709000,-1,-1,regression_l1,963,0.029720979754667556,64,8,80,0.783858002867216,0.6945734283672265,0.018902520992412696,8.234040560490481,0.004509141707269352
kpx_group_1,3,0.6174679272791596,0.1242633814538119,0.359199236012131,0.5956330518379191,0.015478820932128417,0.1,metric_x2,20260709003,-1,-1,regression_l1,901,0.0368326777103251,32,6,40,0.798407944359051,0.8824288627545793,0.01012645823992192,3.402073162176522,0.00015763314220248952
kpx_group_1,7,0.617170979469194,0.12667936771072222,0.36102132664911024,0.5969457591997098,0.01441447117961228,0.15,none,20260709007,-1,-1,regression_l1,1462,0.016974067587297817,24,10,80,0.8498256498743365,0.6225630512398929,0.002984137199005847,1.6350161345067722,0.011319956829133823
kpx_group_1,16,0.6168060711822724,0.1281873006626999,0.3617994430272444,0.5978407489344307,0.013536473393981107,0.15,actual_sqrt,20260709016,-1,-1,regression_l1,1082,0.01766278173160345,64,-1,80,0.6242283986498769,0.7011308360451608,0.0005315739705598112,0.13309781226895614,1.7784900395549634e-05
