group,model_set,variant,score,nmae,ficr
kpx_group_1,rf_only,raw,0.5990922833882547,0.13121842617559193,0.32940299295210146
kpx_group_1,rf_only,pooled_isotonic,0.6004670129631521,0.13182717391748913,0.3327611998437933
kpx_group_1,all3,raw,0.6005945907951308,0.1308118490457466,0.33200103063600817
kpx_group_1,all3,pooled_isotonic,0.6041171068780542,0.13127887594155832,0.3395130896976666
kpx_group_2,rf_only,raw,0.6368052575775272,0.13123476700349385,0.40484528215854815
kpx_group_2,rf_only,pooled_isotonic,0.6362424192087102,0.1326299682253085,0.4051148066427287
kpx_group_2,all3,raw,0.6282358347254566,0.13256365041331583,0.389035319864229
kpx_group_2,all3,pooled_isotonic,0.6286671606852574,0.13393974188372684,0.3912740632542417
kpx_group_3,rf_only,raw,0.561057955232255,0.1471761883602865,0.2692920988247964
kpx_group_3,rf_only,pooled_isotonic,0.5590658315812859,0.14795972088317372,0.26609138404574545
kpx_group_3,all3,raw,0.558487042045501,0.14863399976653177,0.2656080838575338
kpx_group_3,all3,pooled_isotonic,0.5573807835705696,0.1492437093403274,0.2640052764814666
