variant,group,pred_year,mse,rmse,mae,bias,metric_mse,metric_rmse,metric_mae,metric_bias,score,nmae,ficr,pred_min_ratio,pred_max_ratio,n
dynamic_tcn,kpx_group_1,2022,0.03200333261339878,0.17889475289509968,0.14830544424574707,0.11141048066629103,0.03352744222077522,0.18310500326527188,0.14216875559396197,0.08314771341294143,0.6107899165506098,0.14216875559396197,0.3637485886951814,0.09401769166666667,0.9974289027777777,8664
dynamic_fixed_50_15_35,kpx_group_1,2022,0.03281900435253993,0.18116016215641872,0.15254520072233985,0.11621412370431512,0.03281666362534164,0.18115370166061096,0.14080000652152086,0.08268101625487276,0.6128151565875543,0.14080000652152086,0.3664303196966294,0.14285389508581048,0.9979057469974267,8664
dynamic_tcn,kpx_group_1,2023,0.026931768157375396,0.16410901302906977,0.12896172659734054,0.0575712405950003,0.030351305564046138,0.1742162609059388,0.12835330891262386,0.014872371188446431,0.643640998823218,0.12835330891262386,0.41563530655905995,0.062333175277777784,0.9977906481481481,8757
dynamic_fixed_50_15_35,kpx_group_1,2023,0.0285942776753832,0.16909842599912986,0.1380712228968513,0.07050535358778644,0.028770751202275957,0.16961943049744024,0.12625141013523342,0.01885000923861316,0.6464140669431511,0.12625141013523342,0.41907954402153563,0.13551882574509072,0.9922753143088463,8757
dynamic_tcn,kpx_group_1,2024,0.027834204988428014,0.16683586241701157,0.12984922834048154,0.07648295329134777,0.023178960464953182,0.15224638079426775,0.11375644958709158,0.01986004502078647,0.6685226000060742,0.11375644958709158,0.45080164959923985,0.07507906759259259,1.0,8778
dynamic_fixed_50_15_35,kpx_group_1,2024,0.03048119524695018,0.17458864581338096,0.14090358237297218,0.0905889861710083,0.02228440671764144,0.14927962592946648,0.11289034240823127,0.024363277773867893,0.6666846817851563,0.11289034240823127,0.44625970597854375,0.141821981265419,0.9931087199748857,8778
dynamic_tcn,kpx_group_2,2022,0.028860981547068374,0.16988520108316785,0.13747288516808323,0.08151937427494517,0.02781197843469986,0.1667692370753667,0.12531783411797046,0.03620363956316381,0.6596370765340085,0.12531783411797046,0.4445919871859876,0.08243979648148148,1.0,8664
dynamic_fixed_50_15_35,kpx_group_2,2022,0.029474829445827674,0.17168235042026794,0.14103026666471424,0.08638753178542369,0.026854382016390045,0.1638730667815491,0.12250981100452804,0.035483220012952066,0.6704093701938785,0.12250981100452804,0.46332855139228496,0.14376730880631222,0.9822801150571532,8664
dynamic_tcn,kpx_group_2,2023,0.03150429546285512,0.17749449417617189,0.14140419758946796,0.09327772899850771,0.033045754416279535,0.18178491251003076,0.13448591724097247,0.057487930513953164,0.6460123088841888,0.13448591724097247,0.42651053500935016,0.07657694425925926,0.9986444768518518,8758
dynamic_fixed_50_15_35,kpx_group_2,2023,0.031801326419952446,0.1783292640593586,0.1448660951028297,0.09726403530308995,0.03091026113061005,0.17581314265608827,0.1296577182994898,0.053497901031290936,0.6595787452786936,0.1296577182994898,0.4488152088568771,0.14187415198898848,0.9835317459533053,8758
dynamic_tcn,kpx_group_2,2024,0.03188934754330186,0.17857588735129348,0.13963114659100456,0.10103715468025123,0.028830303602378277,0.16979488685581282,0.12272585544478311,0.054643447689037006,0.6685441743418841,0.12272585544478311,0.4598142041285512,0.0692022212962963,0.994665888888889,8778
dynamic_fixed_50_15_35,kpx_group_2,2024,0.034075993782991365,0.18459684120534503,0.14760005955484795,0.1118001924759992,0.02832168045809983,0.16829046454894533,0.1217654044679658,0.058612021586507926,0.6775427025267152,0.1217654044679658,0.4768508095213963,0.13837557631782677,0.9843151536033685,8778
dynamic_tcn,kpx_group_3,2023,0.03987231012839437,0.1996805201525536,0.15725743638180903,0.10379640154753515,0.04663301899511775,0.2159467966771393,0.16089544566896785,0.0642935528622096,0.5844867305354315,0.16089544566896785,0.3298689067398308,0.07368516047619048,1.0,8759
dynamic_fixed_50_15_35,kpx_group_3,2023,0.04086878300848824,0.20216029038485336,0.16356373510502134,0.11266992316653282,0.0444323749150616,0.2107898833318658,0.15725117952124512,0.06528111581808423,0.5911501023706491,0.15725117952124512,0.3395513842625433,0.13746099717296859,1.0,8759
dynamic_tcn,kpx_group_3,2024,0.02695388185322487,0.16417637422365275,0.1332992723101777,0.07911534205938081,0.029926674983973972,0.1729932801699938,0.13252934703570177,0.02840005471480612,0.6075938197769092,0.13252934703570177,0.34771698658952016,0.031610707142857145,1.0,8778
dynamic_fixed_50_15_35,kpx_group_3,2024,0.030169244852009353,0.17369296143485305,0.14711690664000615,0.09883884155730595,0.0292677947003669,0.171078329137173,0.13088275182382506,0.03806959910898885,0.6077230729579908,0.13088275182382506,0.3463288977398066,0.12658716011013105,0.9591069395203612,8778
share_a050_tcn,kpx_group_1,2022,0.02666455216118744,0.1632928417328434,0.1337367255896793,0.08733290136278042,0.02835358485911547,0.1683852275560878,0.129677398567516,0.0554449884674695,0.6277244587730814,0.129677398567516,0.3851263161136787,0.08515782268518518,0.9924628935185185,8664
