fold,fold_type,val_start,val_end,direction_teacher,group,score,nmae,ficr,n
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_1,0.6089113938650095,0.12458145424793178,0.3424042419779507,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_2,0.636071698197416,0.12562532866914367,0.3977687250639757,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_3,0.5649632406728429,0.1459605538007753,0.27588703514646096,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,mean,0.6033154442450895,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_1,0.5929299266926757,0.1274854310367662,0.3133452844221177,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_2,0.6309112428838619,0.12653679526778644,0.3883592810355104,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf,kpx_group_3,0.5575910256669019,0.1486140851256323,0.26379613645943606,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf,mean,0.5938107317478132,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_1,0.6005511362906883,0.1256785373109693,0.32678080989234615,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_2,0.6376687791133966,0.12448706083924818,0.3998246190660413,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,kpx_group_3,0.559314650255104,0.14945167038199325,0.2680809708922012,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,rf_hist_gbr_avg,mean,0.599178188553063,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_1,0.5865107335554373,0.13218371984849003,0.30520518695936466,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_2,0.6250133916933281,0.15076497800869385,0.40079176139535017,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,kpx_group_3,0.5153526696694329,0.17184040075085608,0.2025457400897219,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,none,mean,0.5756255983060661,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf,kpx_group_1,0.5642999368515247,0.13656302911781268,0.26516290282086197,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf,kpx_group_2,0.6255683746099479,0.1499535493165746,0.40109029853647016,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf,kpx_group_3,0.518749851203755,0.17133044767617994,0.2088301500836899,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf,mean,0.5695393875550758,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf_hist_gbr_avg,kpx_group_1,0.5618697217001447,0.13546729734425114,0.2592067407445406,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf_hist_gbr_avg,kpx_group_2,0.6239580976474086,0.15032993034107672,0.3982461256358941,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf_hist_gbr_avg,kpx_group_3,0.5175677163591761,0.17386777066668208,0.20900320338503414,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,rf_hist_gbr_avg,mean,0.5677985119022432,,,
