fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_1,0.6078703336009288,0.12600376321136758,0.3417444304132252,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_2,0.622935909035452,0.12724871707261504,0.3731205351435191,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_3,0.555196263214772,0.15096331125918933,0.2613558376887333,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,mean,0.5953341686170509,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_1,0.6053366384260784,0.12635521715917,0.3370284940113268,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_2,0.6235214101871865,0.12680439554323777,0.3738472159176109,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_3,0.5535298967687297,0.15101949751149887,0.2580792910489582,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead,mean,0.5941293151273316,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_1,0.6066459066758392,0.1265891200623874,0.3398809334140658,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_2,0.6306351182493432,0.12599502666625562,0.387265263164942,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_3,0.55238599981757,0.1507385843419646,0.25551058397710447,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,mean,0.5965556749142508,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_1,0.6040340232083937,0.12583755520853884,0.3339056016253263,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_2,0.626968859742478,0.1271956983935981,0.38113341787855404,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_3,0.5524421189022067,0.15063342365585816,0.2555176614602716,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,mean,0.5944816672843595,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_1,0.6076752581854651,0.126253359455849,0.34160387582677915,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_2,0.6306772007365905,0.125128362908769,0.3864827643819499,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_3,0.5543801147015847,0.15068768551511838,0.25944791491828767,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,mean,0.5975775245412134,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_1,0.5814463799120893,0.13452603955812314,0.2974187993823016,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_2,0.6003268979631996,0.15028735449816238,0.35094115042456164,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_3,0.517549644066191,0.1726336540384638,0.20773294217084579,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,mean,0.5664409739804932,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,lead,kpx_group_1,0.5881370894873303,0.13365282008003423,0.30992699905469484,2184.0
