fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_1,0.6078703336009288,0.12600376321136758,0.3417444304132252,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_2,0.622935909035452,0.12724871707261504,0.3731205351435191,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_3,0.555196263214772,0.15096331125918933,0.2613558376887333,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,mean,0.5953341686170509,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_1,0.6093191708186676,0.12394435905051081,0.342582700687846,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_2,0.6331952721725673,0.1240765834057114,0.3904671277508459,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_3,0.5604796525003078,0.14987586895839267,0.27083517395900836,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,thermo,mean,0.6009980318305143,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_1,0.6109830444624273,0.1260758563562231,0.3480419452810778,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_2,0.6285961359510404,0.12788692120927436,0.38507919311135513,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_3,0.5553232207519592,0.1503121941746505,0.26095863567856875,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,mean,0.5983008003884757,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_1,0.6089113938650095,0.12458145424793178,0.3424042419779507,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_2,0.636071698197416,0.12562532866914367,0.3977687250639757,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_3,0.5649632406728429,0.1459605538007753,0.27588703514646096,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,mean,0.6033154442450895,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_1,0.6089113938650095,0.12458145424793178,0.3424042419779507,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_2,0.636071698197416,0.12562532866914367,0.3977687250639757,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_3,0.5649632406728429,0.1459605538007753,0.27588703514646096,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,mean,0.6033154442450895,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_1,0.5814463799120893,0.13452603955812314,0.2974187993823016,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_2,0.6003268979631996,0.15028735449816238,0.35094115042456164,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,kpx_group_3,0.517549644066191,0.1726336540384638,0.20773294217084579,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,baseline,mean,0.5664409739804932,,,
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,thermo,kpx_group_1,0.5771764000238064,0.1318262259265774,0.28617902597419026,2184.0
