model_set,variant,group,score,nmae,ficr
rf_lgbm_xgb,raw,kpx_group_1,0.6010895130428955,0.1240721405684212,0.32625116665421217
rf_lgbm_xgb,pooled_isotonic,kpx_group_1,0.6139566049003646,0.12372117783945591,0.35163438764018523
rf_lgbm_xgb,raw,kpx_group_2,0.6372504025697645,0.12371465978348181,0.3982154649230108
rf_lgbm_xgb,pooled_isotonic,kpx_group_2,0.6415558418879201,0.12537715797181795,0.4084888417476582
rf_lgbm_xgb,raw,kpx_group_3,0.5565688013160182,0.1478758650840706,0.261013467716107
rf_lgbm_xgb,pooled_isotonic,kpx_group_3,0.557899934849537,0.14871157280003452,0.26451144249910863
extra_only,raw,kpx_group_1,0.5890556865330872,0.12583009544524235,0.30394146851141657
extra_only,pooled_isotonic,kpx_group_1,0.6050388323514532,0.12469595020343983,0.3347736149063461
extra_only,raw,kpx_group_2,0.6349007929955948,0.12346194000020465,0.39326352599139414
extra_only,pooled_isotonic,kpx_group_2,0.6488620750563476,0.12504293717381074,0.4227670872865059
extra_only,raw,kpx_group_3,0.5554964808627698,0.14776966899365762,0.2587626307191972
extra_only,pooled_isotonic,kpx_group_3,0.5548038137428002,0.14843868653128758,0.25804631401688793
rf_lgbm_xgb_extra,raw,kpx_group_1,0.5980263892164231,0.12358091573430235,0.31963369416714876
rf_lgbm_xgb_extra,pooled_isotonic,kpx_group_1,0.6149376333868068,0.12279574593024163,0.3526710127038553
rf_lgbm_xgb_extra,raw,kpx_group_2,0.6386162118333383,0.12273770193756678,0.39997012560424333
rf_lgbm_xgb_extra,pooled_isotonic,kpx_group_2,0.6461193074748373,0.12441726377104553,0.41665587872071996
rf_lgbm_xgb_extra,raw,kpx_group_3,0.5592191459610274,0.1468782873987903,0.26531657932084496
rf_lgbm_xgb_extra,pooled_isotonic,kpx_group_3,0.5595509628000238,0.14748893545251454,0.2665908610525622
lgbm_xgb_extra,raw,kpx_group_1,0.6003192822654764,0.12365245654978957,0.32429102108074237
lgbm_xgb_extra,pooled_isotonic,kpx_group_1,0.6146026637607934,0.1230331623231441,0.352238489844731
lgbm_xgb_extra,raw,kpx_group_2,0.6371175430363282,0.12377925100155683,0.3980143370742132
lgbm_xgb_extra,pooled_isotonic,kpx_group_2,0.6423214350600612,0.12535999940555986,0.4100028695256822
lgbm_xgb_extra,raw,kpx_group_3,0.5605579580243581,0.1469255448294514,0.26804146087816766
lgbm_xgb_extra,pooled_isotonic,kpx_group_3,0.5591724813430468,0.1477044220359318,0.2660493847220252
rf_lgbm_xgb_extra,pooled_isotonic,mean,0.606869301220556,0.13156731505126723,0.34530591749237916
lgbm_xgb_extra,pooled_isotonic,mean,0.6053655267213004,0.13203252792154527,0.34276358136414614
rf_lgbm_xgb,pooled_isotonic,mean,0.6044707938792739,0.13260330287043612,0.341544890628984
extra_only,pooled_isotonic,mean,0.602901573716867,0.13272585796951272,0.33852900540324665
lgbm_xgb_extra,raw,mean,0.5993315944420542,0.13145241746026592,0.3301156063443744
rf_lgbm_xgb_extra,raw,mean,0.5986205823369296,0.13106563502355315,0.32830679969741233
rf_lgbm_xgb,raw,mean,0.5983029056428927,0.13188755514532455,0.32849336643111
extra_only,raw,mean,0.5931509867971506,0.13235390147970152,0.31865587507400267
