fold,fold_type,val_start,val_end,feature_block,variant,group,score,nmae,ficr,n
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,raw,kpx_group_1,0.5444436609436327,0.15240903051605303,0.24129635240331848,8757
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_1,0.5475378160506653,0.1528872376819578,0.24796286978328838,8757
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,raw,kpx_group_2,0.6006777272749517,0.14108678327169918,0.34244223782160266,8758
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_2,0.6035567705515079,0.14301084203807107,0.3501243831410869,8758
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,raw,kpx_group_1,0.5510718625631612,0.1504237166971595,0.25256744182348184,8757
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_1,0.5549315091562284,0.1509211863552939,0.26078420466775076,8757
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,raw,kpx_group_2,0.6061487207949392,0.1392268698217502,0.3515243114116286,8758
year_2023,yearly,2023-01-01 01:00:00,2024-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_2,0.6095177514378114,0.14102280502572587,0.36005830790134863,8758
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_1,0.607185117142908,0.12574574355027907,0.3401159778360952,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_1,0.6104558030137377,0.12617606386797123,0.34708766989544665,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_2,0.6278864158548694,0.12639334824007567,0.3821661799498144,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_2,0.6371083126982333,0.12815078735072896,0.40236741274719545,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_3,0.5556283448248803,0.15003039395717943,0.26128708360694014,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_3,0.5541953510167339,0.1512529752670041,0.2596436773004719,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_1,0.6010895130428955,0.1240721405684212,0.32625116665421217,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_1,0.6139566049003646,0.12372117783945587,0.35163438764018523,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_2,0.6372504025697645,0.12371465978348181,0.3982154649230108,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_2,0.6415562908504526,0.1253762600467528,0.4084888417476582,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_3,0.5565688013160182,0.14787586508407063,0.261013467716107,8778
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_3,0.557899934849537,0.14871157280003452,0.26451144249910863,8778
