recipe,variant,group,score,nmae,ficr
none,raw,kpx_group_1,0.5980263892164231,0.12358091573430235,0.31963369416714876
none,pooled_isotonic,kpx_group_1,0.6149376333868068,0.12279574593024166,0.3526710127038553
none,raw,kpx_group_2,0.6386162118333383,0.12273770193756678,0.39997012560424333
none,pooled_isotonic,kpx_group_2,0.6461193074748373,0.12441726377104556,0.41665587872071996
none,raw,kpx_group_3,0.5592191459610274,0.1468782873987903,0.26531657932084496
none,pooled_isotonic,kpx_group_3,0.5595509628000238,0.14748893545251457,0.2665908610525622
g2_all,raw,kpx_group_1,0.5980263892164231,0.12358091573430235,0.31963369416714876
g2_all,pooled_isotonic,kpx_group_1,0.6132819651611285,0.12279494020346332,0.34935887052572057
g2_all,raw,kpx_group_2,0.6357204762530617,0.12302658921159741,0.3944675417177207
g2_all,pooled_isotonic,kpx_group_2,0.6435747509749723,0.1247868812910689,0.41193638324101356
g2_all,raw,kpx_group_3,0.5592191459610274,0.1468782873987903,0.26531657932084496
g2_all,pooled_isotonic,kpx_group_3,0.5601575232149276,0.14753181896197312,0.2678468653918282
g2_all_g3_weighted,raw,kpx_group_1,0.5980263892164231,0.12358091573430235,0.31963369416714876
g2_all_g3_weighted,pooled_isotonic,kpx_group_1,0.6151705132185039,0.12265129292405816,0.35299231936106606
g2_all_g3_weighted,raw,kpx_group_2,0.6357204762530617,0.12302658921159741,0.3944675417177207
g2_all_g3_weighted,pooled_isotonic,kpx_group_2,0.6423323448729861,0.12477810078473146,0.4094427905307037
g2_all_g3_weighted,raw,kpx_group_3,0.5593536062723532,0.1460921565070255,0.26479936905173174
g2_all_g3_weighted,pooled_isotonic,kpx_group_3,0.5580570528498515,0.14673627513483264,0.2628503808345357
g1_gfs_g2_all_g3_none,raw,kpx_group_1,0.6061631778165594,0.12338359423107434,0.33570994986419317
g1_gfs_g2_all_g3_none,pooled_isotonic,kpx_group_1,0.6197177421695221,0.12265472164114798,0.3620902059801923
g1_gfs_g2_all_g3_none,raw,kpx_group_2,0.6357204762530617,0.12302658921159741,0.3944675417177207
g1_gfs_g2_all_g3_none,pooled_isotonic,kpx_group_2,0.643125223916974,0.12469287466725758,0.4109433225012056
g1_gfs_g2_all_g3_none,raw,kpx_group_3,0.5592191459610273,0.14687828739879033,0.26531657932084496
g1_gfs_g2_all_g3_none,pooled_isotonic,kpx_group_3,0.5587077866388664,0.14746779388906456,0.26488336716679745
g1_gfs_g2_all_g3_weighted,raw,kpx_group_1,0.6061631778165594,0.12338359423107434,0.33570994986419317
g1_gfs_g2_all_g3_weighted,pooled_isotonic,kpx_group_1,0.6205865399922318,0.12256237217798037,0.36373545216244396
g1_gfs_g2_all_g3_weighted,raw,kpx_group_2,0.6357204762530617,0.12302658921159741,0.3944675417177207
g1_gfs_g2_all_g3_weighted,pooled_isotonic,kpx_group_2,0.6422224760329802,0.12467131689614303,0.4091162689621036
g1_gfs_g2_all_g3_weighted,raw,kpx_group_3,0.5593536062723532,0.1460921565070255,0.26479936905173174
g1_gfs_g2_all_g3_weighted,pooled_isotonic,kpx_group_3,0.5578635883350911,0.14680198931243205,0.2625291659826141
g1_gfs_g2_all_g3_none,pooled_isotonic,mean,0.6071835842417875,0.1316051300658234,0.3459722985493984
g1_gfs_g2_all_g3_weighted,pooled_isotonic,mean,0.6068908681201011,0.13134522612885183,0.3451269623690539
none,pooled_isotonic,mean,0.606869301220556,0.13156731505126726,0.34530591749237916
g2_all,pooled_isotonic,mean,0.6056714131170094,0.13170454681883512,0.3430473730528541
g2_all_g3_weighted,pooled_isotonic,mean,0.6051866369804472,0.1313885562812074,0.3417618302421019
g1_gfs_g2_all_g3_weighted,raw,mean,0.6004124201139914,0.13083411331656575,0.3316589535445485
g1_gfs_g2_all_g3_none,raw,mean,0.6003676000102162,0.131096156947154,0.3318313569675863
none,raw,mean,0.5986205823369296,0.13106563502355315,0.32830679969741233
g2_all_g3_weighted,raw,mean,0.5977001572472793,0.13089988715097509,0.3263002016455337
g2_all,raw,mean,0.5976553371435042,0.13116193078156335,0.3264726050685715
