iter	MultiRMSE
0	145.6113355
1	141.7008999
2	138.1129373
3	134.6992858
4	131.6406351
5	128.8154757
6	126.2779233
7	123.9137285
8	121.7998683
9	119.9022116
10	118.1878245
11	116.6381702
12	115.0859919
13	113.6612139
14	112.4004573
15	111.1779508
16	110.0836701
17	109.0974466
18	108.2046371
19	107.3920803
20	106.6755306
21	106.0497615
22	105.36096
23	104.8093417
24	104.2937619
25	103.8524074
26	103.384986
27	102.9561004
28	102.5201401
29	102.1575752
30	101.8131085
31	101.5029736
32	101.2098924
33	101.0047724
34	100.7303469
35	100.5023432
36	100.2652779
37	100.0480228
38	99.82557231
39	99.59707699
40	99.44808058
41	99.30095384
42	99.14031684
43	98.99786661
44	98.85599114
45	98.66986966
46	98.50634107
47	98.36222364
48	98.22203637
49	98.10338302
50	97.96120724
51	97.8624727
52	97.75874218
53	97.68888915
54	97.58358325
55	97.50462312
56	97.40454457
57	97.27230292
58	97.17464454
59	97.08222312
60	97.00544391
61	96.9147167
62	96.82594122
63	96.7563791
64	96.65006876
65	96.58389411
66	96.52471158
67	96.41990396
68	96.33747214
69	96.24742834
70	96.16813172
71	96.11037142
72	96.01896701
73	95.93586825
74	95.84604775
75	95.78078614
76	95.70473905
77	95.60783082
78	95.50419903
79	95.44283665
80	95.37240911
81	95.30723945
82	95.23558686
83	95.1654738
84	95.0919532
85	95.01759854
86	94.9183743
87	94.86440239
88	94.81407086
89	94.77415243
90	94.7078001
91	94.65170865
92	94.58878992
93	94.54890747
94	94.47645353
95	94.40606464
96	94.35589302
97	94.31518281
98	94.21437174
99	94.16600671
100	94.09227501
101	94.04814545
102	93.9848858
103	93.92717541
104	93.86699293
105	93.82194376
106	93.77203887
107	93.72446398
108	93.6663386
109	93.62013158
110	93.55907508
111	93.48395073
112	93.41498271
113	93.36345522
114	93.30867516
115	93.25686001
116	93.21825
117	93.14589211
118	93.10406046
119	93.04172498
120	92.96699753
121	92.90540746
122	92.84233048
123	92.78448486
124	92.7182881
125	92.67585531
126	92.6246537
127	92.58460377
128	92.53812567
129	92.47226755
130	92.41781381
131	92.3848022
132	92.35135378
133	92.30764442
134	92.23250967
135	92.16413224
136	92.10049511
137	92.03214385
138	91.97455533
139	91.94189383
140	91.89162028
141	91.83671934
142	91.75122716
143	91.7112676
144	91.66594481
145	91.59063909
146	91.51298136
147	91.47154798
148	91.4163911
149	91.37184729
150	91.32019293
151	91.26413048
152	91.20563734
153	91.18114849
154	91.14745547
155	91.10332448
156	91.05955957
157	90.99397427
158	90.95702151
159	90.90109844
160	90.82474194
161	90.79482044
162	90.76681928
163	90.71545563
164	90.66608999
165	90.61916567
166	90.58856683
167	90.53722816
168	90.50395547
169	90.44014513
170	90.40673833
171	90.3743249
172	90.31348306
173	90.26603979
174	90.23176112
175	90.17960817
176	90.14325937
177	90.08001546
178	90.04531363
179	89.99899065
180	89.93600471
181	89.87590716
182	89.80741616
183	89.77014273
184	89.714876
185	89.69084011
186	89.65121403
187	89.60636172
188	89.56127145
189	89.52914068
190	89.47408904
191	89.38468695
192	89.34492432
193	89.29933117
194	89.26749466
195	89.20398522
196	89.13637454
197	89.09883326
198	89.03904505
199	88.97937173
200	88.95040359
201	88.90544045
202	88.86262422
203	88.7911397
204	88.70287278
205	88.65987564
206	88.6207786
207	88.59418446
208	88.55024262
209	88.50877579
210	88.48194844
211	88.42060105
212	88.35473303
213	88.30558109
214	88.22680412
215	88.14188095
216	88.09826613
217	88.07497039
218	88.05484434
219	88.01183092
220	87.96261887
221	87.93755903
222	87.90143967
223	87.83747717
224	87.79011622
225	87.7370374
226	87.6987661
227	87.6454669
228	87.59725026
229	87.53708853
230	87.49047228
231	87.45485565
232	87.40054282
233	87.33172675
234	87.29777631
235	87.2462076
236	87.19443
237	87.15798723
238	87.11630715
239	87.06236808
240	87.01866896
241	86.96863205
242	86.93624638
243	86.88057647
244	86.84935325
245	86.81208938
246	86.7747602
247	86.72209215
248	86.68257565
249	86.66309339
250	86.64197473
251	86.60848794
252	86.57078859
253	86.53232388
254	86.4723924
255	86.43228335
256	86.37608657
257	86.31094148
258	86.26927077
259	86.23600462
260	86.21880341
261	86.17615123
262	86.13837234
263	86.08746519
264	86.04624968
265	86.00323781
266	85.96387163
267	85.92863902
268	85.89289832
269	85.8474768
270	85.80096369
271	85.75787228
272	85.73148622
273	85.66177396
274	85.61827912
275	85.57637688
276	85.53780374
277	85.48380333
278	85.45257368
279	85.42260963
280	85.37839578
281	85.35141335
282	85.32264815
283	85.29894082
284	85.26142202
285	85.22238504
286	85.18027439
