iter	MultiRMSE
0	145.4140242
1	141.3717856
2	137.625099
3	134.1916277
4	131.0139709
5	128.1079988
6	125.4834592
7	123.0555381
8	120.8572029
9	118.8310563
10	116.9495701
11	115.2303416
12	113.6930708
13	112.2415116
14	110.9482629
15	109.7332754
16	108.629496
17	107.6501611
18	106.7413877
19	105.9059457
20	105.130055
21	104.4203558
22	103.7513228
23	103.1420076
24	102.5996756
25	102.0561424
26	101.614252
27	101.1676958
28	100.7583743
29	100.3736571
30	100.0218711
31	99.69159865
32	99.41420882
33	99.12051514
34	98.8577279
35	98.59895359
36	98.3578952
37	98.11212799
38	97.88100427
39	97.688946
40	97.49847151
41	97.34437639
42	97.16726868
43	97.02461937
44	96.87339042
45	96.72950282
46	96.59544843
47	96.47826363
48	96.34699429
49	96.22591018
50	96.12178002
51	95.96656137
52	95.8645448
53	95.75600075
54	95.64811574
55	95.52800509
56	95.42945255
57	95.34345011
58	95.24990181
59	95.12475162
60	95.02163923
61	94.92544135
62	94.83027802
63	94.75470316
64	94.67546693
65	94.57568514
66	94.50021885
67	94.41436535
68	94.34506281
69	94.27133472
70	94.19398114
71	94.10508828
72	94.02361289
73	93.94876496
74	93.87082806
75	93.79722655
76	93.74527401
77	93.65931299
78	93.57278547
79	93.48628847
80	93.41243932
81	93.31945174
82	93.26340468
83	93.21207147
84	93.13773387
85	93.07526452
86	93.00865276
87	92.94252338
88	92.8863733
89	92.82564497
90	92.74376049
91	92.67357949
92	92.59815598
93	92.5303659
94	92.47041021
95	92.37329061
96	92.32654217
97	92.24781168
98	92.20731626
99	92.15272814
100	92.07972849
101	92.01538074
102	91.91662227
103	91.79792416
104	91.73247361
105	91.67867429
106	91.60154843
107	91.53793106
108	91.48504458
109	91.43369754
110	91.38455483
111	91.31272966
112	91.26643104
113	91.20237984
114	91.12319206
115	91.07232227
116	91.01507522
117	90.97835696
118	90.88226321
119	90.83767038
120	90.8017211
121	90.76115684
122	90.71518019
123	90.63236211
124	90.54911224
125	90.48521206
126	90.44353066
127	90.3914675
128	90.31415163
129	90.22536666
130	90.16312602
131	90.10899388
132	90.04346071
133	89.97663254
134	89.92292591
135	89.86775902
136	89.82348532
137	89.77165545
138	89.72336167
139	89.64845848
140	89.56777803
141	89.51982613
142	89.47232102
143	89.41042358
144	89.37348845
145	89.3046673
146	89.24267402
147	89.16998993
148	89.10556494
149	89.0585765
150	89.0159606
151	88.96615926
152	88.90139156
153	88.82592534
154	88.77064203
