iter	Passed	Remaining
0	18	37601
1	36	36675
2	53	35726
3	71	35539
4	92	36948
5	113	37715
6	133	38091
7	148	36890
8	162	36014
9	178	35458
10	194	35151
11	209	34632
12	224	34300
13	238	33801
14	258	34229
15	279	34677
16	294	34369
17	310	34185
18	325	33914
19	341	33761
20	359	33873
21	374	33656
22	395	34038
23	409	33730
24	423	33473
25	439	33341
26	454	33190
27	469	33058
28	483	32866
29	500	32844
30	514	32705
31	532	32777
32	549	32733
33	567	32787
34	583	32774
35	603	32917
36	619	32883
37	634	32760
38	650	32693
39	667	32685
40	683	32645
41	698	32570
42	716	32622
43	731	32526
44	748	32512
45	762	32370
46	778	32338
47	793	32276
48	811	32298
49	827	32255
50	847	32404
51	864	32367
52	880	32341
53	899	32399
54	915	32358
55	929	32257
56	943	32177
57	958	32096
58	973	32022
59	996	32228
60	1013	32224
61	1029	32180
62	1043	32085
63	1058	32015
64	1073	31965
65	1089	31913
66	1103	31850
67	1118	31785
68	1137	31830
69	1159	31977
70	1174	31918
71	1191	31914
72	1211	31980
73	1225	31887
74	1241	31873
75	1266	32058
76	1280	31979
77	1294	31893
78	1310	31855
79	1322	31735
80	1336	31662
81	1349	31565
82	1363	31482
83	1380	31496
84	1393	31391
85	1405	31291
86	1419	31211
87	1432	31114
88	1443	31003
89	1455	30891
90	1469	30834
91	1489	30893
92	1511	30985
93	1523	30888
94	1535	30799
95	1548	30711
96	1566	30731
97	1578	30636
98	1591	30565
99	1604	30485
100	1618	30431
101	1632	30369
102	1647	30335
103	1663	30318
104	1676	30262
105	1691	30220
106	1706	30189
107	1721	30163
108	1734	30095
109	1747	30030
110	1763	30003
111	1777	29958
112	1793	29948
113	1815	30043
114	1833	30056
115	1846	29990
116	1861	29953
117	1881	30007
118	1901	30059
119	1913	29983
120	1926	29918
121	1939	29849
122	1952	29790
123	1968	29779
124	1981	29724
125	1995	29684
126	2010	29644
127	2024	29602
128	2042	29618
129	2056	29578
130	2069	29526
131	2082	29471
132	2098	29462
133	2114	29442
134	2127	29387
135	2146	29417
136	2165	29450
137	2186	29504
138	2199	29444
139	2214	29415
140	2227	29369
141	2240	29312
142	2254	29283
143	2275	29322
144	2294	29351
145	2310	29334
146	2337	29469
147	2358	29509
148	2379	29556
149	2400	29600
150	2422	29667
151	2443	29704
152	2463	29742
153	2481	29746
154	2498	29738
