plant_name,start_datetime,end_datetime,yield_kwh
영덕풍력,2024-04-01 00:00:00,2024-04-01 01:00:00,11968.764448242187
영덕풍력,2024-04-01 01:00:00,2024-04-01 02:00:00,12586.459731445313
영덕풍력,2024-04-01 02:00:00,2024-04-01 03:00:00,13276.880048828125
영덕풍력,2024-04-01 03:00:00,2024-04-01 04:00:00,13062.478994140625
영덕풍력,2024-04-01 04:00:00,2024-04-01 05:00:00,12799.808964843749
영덕풍력,2024-04-01 05:00:00,2024-04-01 06:00:00,13623.780712890624
영덕풍력,2024-04-01 06:00:00,2024-04-01 07:00:00,14062.76158203125
영덕풍력,2024-04-01 07:00:00,2024-04-01 08:00:00,13305.43427734375
영덕풍력,2024-04-01 08:00:00,2024-04-01 09:00:00,12775.616108398437
영덕풍력,2024-04-01 09:00:00,2024-04-01 10:00:00,12150.564028320312
영덕풍력,2024-04-01 10:00:00,2024-04-01 11:00:00,12140.208759765625
영덕풍력,2024-04-01 11:00:00,2024-04-01 12:00:00,12194.105615234375
영덕풍력,2024-04-01 12:00:00,2024-04-01 13:00:00,12178.273833007812
영덕풍력,2024-04-01 13:00:00,2024-04-01 14:00:00,11679.4962890625
영덕풍력,2024-04-01 14:00:00,2024-04-01 15:00:00,11845.232084960937
영덕풍력,2024-04-01 15:00:00,2024-04-01 16:00:00,11680.922236328126
영덕풍력,2024-04-01 16:00:00,2024-04-01 17:00:00,11553.919013671875
영덕풍력,2024-04-01 17:00:00,2024-04-01 18:00:00,10702.434765625
영덕풍력,2024-04-01 18:00:00,2024-04-01 19:00:00,9357.799770507812
영덕풍력,2024-04-01 19:00:00,2024-04-01 20:00:00,8620.86423828125
영덕풍력,2024-04-01 20:00:00,2024-04-01 21:00:00,8356.78068359375
영덕풍력,2024-04-01 21:00:00,2024-04-01 22:00:00,9091.790180664062
영덕풍력,2024-04-01 22:00:00,2024-04-01 23:00:00,9045.196079101563
영덕풍력,2024-04-01 23:00:00,2024-04-02 00:00:00,11153.14701171875
영덕풍력,2024-04-02 00:00:00,2024-04-02 01:00:00,12045.631235351562
영덕풍력,2024-04-02 01:00:00,2024-04-02 02:00:00,13003.390102539062
영덕풍력,2024-04-02 02:00:00,2024-04-02 03:00:00,13814.449946289064
영덕풍력,2024-04-02 03:00:00,2024-04-02 04:00:00,13421.145556640626
영덕풍력,2024-04-02 04:00:00,2024-04-02 05:00:00,14051.6262890625
영덕풍력,2024-04-02 05:00:00,2024-04-02 06:00:00,13580.846772460938
영덕풍력,2024-04-02 06:00:00,2024-04-02 07:00:00,14649.947377929688
영덕풍력,2024-04-02 07:00:00,2024-04-02 08:00:00,13654.094755859376
영덕풍력,2024-04-02 08:00:00,2024-04-02 09:00:00,13408.152631835937
영덕풍력,2024-04-02 09:00:00,2024-04-02 10:00:00,12670.942895507813
영덕풍력,2024-04-02 10:00:00,2024-04-02 11:00:00,12351.107216796874
영덕풍력,2024-04-02 11:00:00,2024-04-02 12:00:00,12290.368344726563
영덕풍력,2024-04-02 12:00:00,2024-04-02 13:00:00,12201.290419921876
영덕풍력,2024-04-02 13:00:00,2024-04-02 14:00:00,11765.97900390625
영덕풍력,2024-04-02 14:00:00,2024-04-02 15:00:00,12019.642124023438
영덕풍력,2024-04-02 15:00:00,2024-04-02 16:00:00,12049.278002929688
영덕풍력,2024-04-02 16:00:00,2024-04-02 17:00:00,11525.825942382813
영덕풍력,2024-04-02 17:00:00,2024-04-02 18:00:00,10683.408657226562
영덕풍력,2024-04-02 18:00:00,2024-04-02 19:00:00,9745.814682617187
영덕풍력,2024-04-02 19:00:00,2024-04-02 20:00:00,8642.292836914063
영덕풍력,2024-04-02 20:00:00,2024-04-02 21:00:00,8313.24791015625
영덕풍력,2024-04-02 21:00:00,2024-04-02 22:00:00,9060.734311523438
영덕풍력,2024-04-02 22:00:00,2024-04-02 23:00:00,9093.865834960938
영덕풍력,2024-04-02 23:00:00,2024-04-03 00:00:00,16240.57412109375
영덕풍력,2024-04-03 00:00:00,2024-04-03 01:00:00,16869.77244140625
영덕풍력,2024-04-03 01:00:00,2024-04-03 02:00:00,16681.66140625
영덕풍력,2024-04-03 02:00:00,2024-04-03 03:00:00,16835.955537109374
영덕풍력,2024-04-03 03:00:00,2024-04-03 04:00:00,15408.144291992186
영덕풍력,2024-04-03 04:00:00,2024-04-03 05:00:00,14917.054072265626
영덕풍력,2024-04-03 05:00:00,2024-04-03 06:00:00,14291.081796875
영덕풍력,2024-04-03 06:00:00,2024-04-03 07:00:00,15406.982626953126
영덕풍력,2024-04-03 07:00:00,2024-04-03 08:00:00,14729.08564453125
