plant_name,start_datetime,end_datetime,yield_kwh
경주풍력,2024-01-01 00:00:00,2024-01-01 01:00:00,4798.616
경주풍력,2024-01-01 01:00:00,2024-01-01 02:00:00,5071.5444
경주풍력,2024-01-01 02:00:00,2024-01-01 03:00:00,5365.7197
경주풍력,2024-01-01 03:00:00,2024-01-01 04:00:00,5455.055
경주풍력,2024-01-01 04:00:00,2024-01-01 05:00:00,5292.181
경주풍력,2024-01-01 05:00:00,2024-01-01 06:00:00,4890.837
경주풍력,2024-01-01 06:00:00,2024-01-01 07:00:00,4236.0693
경주풍력,2024-01-01 07:00:00,2024-01-01 08:00:00,3294.468
경주풍력,2024-01-01 08:00:00,2024-01-01 09:00:00,2241.375
경주풍력,2024-01-01 09:00:00,2024-01-01 10:00:00,1406.8246
경주풍력,2024-01-01 10:00:00,2024-01-01 11:00:00,875.21606
경주풍력,2024-01-01 11:00:00,2024-01-01 12:00:00,573.24744
경주풍력,2024-01-01 12:00:00,2024-01-01 13:00:00,421.13104
경주풍력,2024-01-01 13:00:00,2024-01-01 14:00:00,352.07233
경주풍력,2024-01-01 14:00:00,2024-01-01 15:00:00,326.69492
경주풍력,2024-01-01 15:00:00,2024-01-01 16:00:00,331.6322
경주풍력,2024-01-01 16:00:00,2024-01-01 17:00:00,369.46234
경주풍력,2024-01-01 17:00:00,2024-01-01 18:00:00,464.6626
경주풍력,2024-01-01 18:00:00,2024-01-01 19:00:00,688.2112
경주풍력,2024-01-01 19:00:00,2024-01-01 20:00:00,1163.5182
경주풍력,2024-01-01 20:00:00,2024-01-01 21:00:00,2022.363
경주풍력,2024-01-01 21:00:00,2024-01-01 22:00:00,3105.2566
경주풍력,2024-01-01 22:00:00,2024-01-01 23:00:00,4034.0308
경주풍력,2024-01-01 23:00:00,2024-01-02 00:00:00,4715.4033
경주풍력,2024-01-02 00:00:00,2024-01-02 01:00:00,11105.393
경주풍력,2024-01-02 01:00:00,2024-01-02 02:00:00,11605.035
경주풍력,2024-01-02 02:00:00,2024-01-02 03:00:00,12005.625
경주풍력,2024-01-02 03:00:00,2024-01-02 04:00:00,12205.997
경주풍력,2024-01-02 04:00:00,2024-01-02 05:00:00,12279.889
경주풍력,2024-01-02 05:00:00,2024-01-02 06:00:00,12280.419
경주풍력,2024-01-02 06:00:00,2024-01-02 07:00:00,12240.717
경주풍력,2024-01-02 07:00:00,2024-01-02 08:00:00,12184.49
경주풍력,2024-01-02 08:00:00,2024-01-02 09:00:00,12127.562
경주풍력,2024-01-02 09:00:00,2024-01-02 10:00:00,12083.216
경주풍력,2024-01-02 10:00:00,2024-01-02 11:00:00,12061.3
경주풍력,2024-01-02 11:00:00,2024-01-02 12:00:00,12063.114
경주풍력,2024-01-02 12:00:00,2024-01-02 13:00:00,12084.074
경주풍력,2024-01-02 13:00:00,2024-01-02 14:00:00,12113.905
경주풍력,2024-01-02 14:00:00,2024-01-02 15:00:00,12144.572
경주풍력,2024-01-02 15:00:00,2024-01-02 16:00:00,12170.174
경주풍력,2024-01-02 16:00:00,2024-01-02 17:00:00,12190.44
경주풍력,2024-01-02 17:00:00,2024-01-02 18:00:00,12211.247
경주풍력,2024-01-02 18:00:00,2024-01-02 19:00:00,12236.956
경주풍력,2024-01-02 19:00:00,2024-01-02 20:00:00,12259.256
경주풍력,2024-01-02 20:00:00,2024-01-02 21:00:00,12260.817
경주풍력,2024-01-02 21:00:00,2024-01-02 22:00:00,12230.731
경주풍력,2024-01-02 22:00:00,2024-01-02 23:00:00,12172.256
경주풍력,2024-01-02 23:00:00,2024-01-03 00:00:00,12090.437
경주풍력,2024-01-03 00:00:00,2024-01-03 01:00:00,11814.84
경주풍력,2024-01-03 01:00:00,2024-01-03 02:00:00,12795.556
경주풍력,2024-01-03 02:00:00,2024-01-03 03:00:00,13553.359
경주풍력,2024-01-03 03:00:00,2024-01-03 04:00:00,13943.102
경주풍력,2024-01-03 04:00:00,2024-01-03 05:00:00,14109.364
경주풍력,2024-01-03 05:00:00,2024-01-03 06:00:00,14162.248
경주풍력,2024-01-03 06:00:00,2024-01-03 07:00:00,14164.242
경주풍력,2024-01-03 07:00:00,2024-01-03 08:00:00,14150.733
경주풍력,2024-01-03 08:00:00,2024-01-03 09:00:00,14143.594
경주풍력,2024-01-03 09:00:00,2024-01-03 10:00:00,14143.92
경주풍력,2024-01-03 10:00:00,2024-01-03 11:00:00,14143.399
경주풍력,2024-01-03 11:00:00,2024-01-03 12:00:00,14133.871
경주풍력,2024-01-03 12:00:00,2024-01-03 13:00:00,14119.0
경주풍력,2024-01-03 13:00:00,2024-01-03 14:00:00,14106.601
경주풍력,2024-01-03 14:00:00,2024-01-03 15:00:00,14102.926
경주풍력,2024-01-03 15:00:00,2024-01-03 16:00:00,14114.438
경주풍력,2024-01-03 16:00:00,2024-01-03 17:00:00,14148.9375
경주풍력,2024-01-03 17:00:00,2024-01-03 18:00:00,14216.804
경주풍력,2024-01-03 18:00:00,2024-01-03 19:00:00,14300.08
경주풍력,2024-01-03 19:00:00,2024-01-03 20:00:00,14369.24
경주풍력,2024-01-03 20:00:00,2024-01-03 21:00:00,14426.761
경주풍력,2024-01-03 21:00:00,2024-01-03 22:00:00,14479.564
경주풍력,2024-01-03 22:00:00,2024-01-03 23:00:00,14533.452
경주풍력,2024-01-03 23:00:00,2024-01-04 00:00:00,14584.286
경주풍력,2024-01-04 00:00:00,2024-01-04 01:00:00,11991.99
경주풍력,2024-01-04 01:00:00,2024-01-04 02:00:00,14938.822
경주풍력,2024-01-04 02:00:00,2024-01-04 03:00:00,15770.61
경주풍력,2024-01-04 03:00:00,2024-01-04 04:00:00,16016.022
경주풍력,2024-01-04 04:00:00,2024-01-04 05:00:00,16088.244
경주풍력,2024-01-04 05:00:00,2024-01-04 06:00:00,16076.304
경주풍력,2024-01-04 06:00:00,2024-01-04 07:00:00,15997.673
경주풍력,2024-01-04 07:00:00,2024-01-04 08:00:00,15828.078
경주풍력,2024-01-04 08:00:00,2024-01-04 09:00:00,15480.805
경주풍력,2024-01-04 09:00:00,2024-01-04 10:00:00,14764.768
경주풍력,2024-01-04 10:00:00,2024-01-04 11:00:00,13373.768
경주풍력,2024-01-04 11:00:00,2024-01-04 12:00:00,10797.462
경주풍력,2024-01-04 12:00:00,2024-01-04 13:00:00,6902.706
경주풍력,2024-01-04 13:00:00,2024-01-04 14:00:00,4344.1934
경주풍력,2024-01-04 14:00:00,2024-01-04 15:00:00,3473.7012
경주풍력,2024-01-04 15:00:00,2024-01-04 16:00:00,3157.4404
경주풍력,2024-01-04 16:00:00,2024-01-04 17:00:00,3001.712
경주풍력,2024-01-04 17:00:00,2024-01-04 18:00:00,2932.7563
경주풍력,2024-01-04 18:00:00,2024-01-04 19:00:00,2933.7764
경주풍력,2024-01-04 19:00:00,2024-01-04 20:00:00,2996.1157
경주풍력,2024-01-04 20:00:00,2024-01-04 21:00:00,3155.3198
경주풍력,2024-01-04 21:00:00,2024-01-04 22:00:00,3582.8347
경주풍력,2024-01-04 22:00:00,2024-01-04 23:00:00,4905.138
경주풍력,2024-01-04 23:00:00,2024-01-05 00:00:00,7664.7954
경주풍력,2024-01-05 00:00:00,2024-01-05 01:00:00,10590.965
경주풍력,2024-01-05 01:00:00,2024-01-05 02:00:00,12629.401
경주풍력,2024-01-05 02:00:00,2024-01-05 03:00:00,13470.517
경주풍력,2024-01-05 03:00:00,2024-01-05 04:00:00,13731.512
경주풍력,2024-01-05 04:00:00,2024-01-05 05:00:00,13804.366
경주풍력,2024-01-05 05:00:00,2024-01-05 06:00:00,13792.078
경주풍력,2024-01-05 06:00:00,2024-01-05 07:00:00,13713.701
경주풍력,2024-01-05 07:00:00,2024-01-05 08:00:00,13563.802
경주풍력,2024-01-05 08:00:00,2024-01-05 09:00:00,13310.464
경주풍력,2024-01-05 09:00:00,2024-01-05 10:00:00,12880.112
경주풍력,2024-01-05 10:00:00,2024-01-05 11:00:00,12149.972
경주풍력,2024-01-05 11:00:00,2024-01-05 12:00:00,10979.768
경주풍력,2024-01-05 12:00:00,2024-01-05 13:00:00,9345.973
경주풍력,2024-01-05 13:00:00,2024-01-05 14:00:00,7545.385
경주풍력,2024-01-05 14:00:00,2024-01-05 15:00:00,6100.6963
경주풍력,2024-01-05 15:00:00,2024-01-05 16:00:00,5406.3276
경주풍력,2024-01-05 16:00:00,2024-01-05 17:00:00,5159.9136
경주풍력,2024-01-05 17:00:00,2024-01-05 18:00:00,5091.3564
경주풍력,2024-01-05 18:00:00,2024-01-05 19:00:00,5102.0117
경주풍력,2024-01-05 19:00:00,2024-01-05 20:00:00,5183.731
경주풍력,2024-01-05 20:00:00,2024-01-05 21:00:00,5349.082
경주풍력,2024-01-05 21:00:00,2024-01-05 22:00:00,5653.2197
경주풍력,2024-01-05 22:00:00,2024-01-05 23:00:00,6322.91
경주풍력,2024-01-05 23:00:00,2024-01-06 00:00:00,7664.475
경주풍력,2024-01-06 00:00:00,2024-01-06 01:00:00,9675.854
경주풍력,2024-01-06 01:00:00,2024-01-06 02:00:00,11409.774
경주풍력,2024-01-06 02:00:00,2024-01-06 03:00:00,12525.059
경주풍력,2024-01-06 03:00:00,2024-01-06 04:00:00,12947.221
경주풍력,2024-01-06 04:00:00,2024-01-06 05:00:00,13069.623
경주풍력,2024-01-06 05:00:00,2024-01-06 06:00:00,13036.228
경주풍력,2024-01-06 06:00:00,2024-01-06 07:00:00,12871.856
경주풍력,2024-01-06 07:00:00,2024-01-06 08:00:00,12541.679
경주풍력,2024-01-06 08:00:00,2024-01-06 09:00:00,11930.8955
경주풍력,2024-01-06 09:00:00,2024-01-06 10:00:00,10870.789
경주풍력,2024-01-06 10:00:00,2024-01-06 11:00:00,9406.771
경주풍력,2024-01-06 11:00:00,2024-01-06 12:00:00,7734.565
경주풍력,2024-01-06 12:00:00,2024-01-06 13:00:00,6284.944
경주풍력,2024-01-06 13:00:00,2024-01-06 14:00:00,5540.9077
경주풍력,2024-01-06 14:00:00,2024-01-06 15:00:00,5298.898
경주풍력,2024-01-06 15:00:00,2024-01-06 16:00:00,5275.2847
경주풍력,2024-01-06 16:00:00,2024-01-06 17:00:00,5404.281
경주풍력,2024-01-06 17:00:00,2024-01-06 18:00:00,5702.8306
경주풍력,2024-01-06 18:00:00,2024-01-06 19:00:00,6343.1704
경주풍력,2024-01-06 19:00:00,2024-01-06 20:00:00,7528.0757
경주풍력,2024-01-06 20:00:00,2024-01-06 21:00:00,9037.446
경주풍력,2024-01-06 21:00:00,2024-01-06 22:00:00,10822.587
경주풍력,2024-01-06 22:00:00,2024-01-06 23:00:00,12300.031
경주풍력,2024-01-06 23:00:00,2024-01-07 00:00:00,12920.024
경주풍력,2024-01-07 00:00:00,2024-01-07 01:00:00,15029.322
경주풍력,2024-01-07 01:00:00,2024-01-07 02:00:00,16110.292
경주풍력,2024-01-07 02:00:00,2024-01-07 03:00:00,16383.345
경주풍력,2024-01-07 03:00:00,2024-01-07 04:00:00,16462.998
경주풍력,2024-01-07 04:00:00,2024-01-07 05:00:00,16492.973
경주풍력,2024-01-07 05:00:00,2024-01-07 06:00:00,16505.219
경주풍력,2024-01-07 06:00:00,2024-01-07 07:00:00,16509.365
경주풍력,2024-01-07 07:00:00,2024-01-07 08:00:00,16509.045
경주풍력,2024-01-07 08:00:00,2024-01-07 09:00:00,16506.54
경주풍력,2024-01-07 09:00:00,2024-01-07 10:00:00,16502.766
경주풍력,2024-01-07 10:00:00,2024-01-07 11:00:00,16497.83
경주풍력,2024-01-07 11:00:00,2024-01-07 12:00:00,16491.988
경주풍력,2024-01-07 12:00:00,2024-01-07 13:00:00,16486.502
경주풍력,2024-01-07 13:00:00,2024-01-07 14:00:00,16482.693
경주풍력,2024-01-07 14:00:00,2024-01-07 15:00:00,16480.594
경주풍력,2024-01-07 15:00:00,2024-01-07 16:00:00,16479.334
경주풍력,2024-01-07 16:00:00,2024-01-07 17:00:00,16477.703
경주풍력,2024-01-07 17:00:00,2024-01-07 18:00:00,16473.982
경주풍력,2024-01-07 18:00:00,2024-01-07 19:00:00,16465.424
경주풍력,2024-01-07 19:00:00,2024-01-07 20:00:00,16449.332
경주풍력,2024-01-07 20:00:00,2024-01-07 21:00:00,16423.422
경주풍력,2024-01-07 21:00:00,2024-01-07 22:00:00,16386.26
경주풍력,2024-01-07 22:00:00,2024-01-07 23:00:00,16337.125
경주풍력,2024-01-07 23:00:00,2024-01-08 00:00:00,16276.337
경주풍력,2024-01-08 00:00:00,2024-01-08 01:00:00,7654.159
경주풍력,2024-01-08 01:00:00,2024-01-08 02:00:00,8922.83
경주풍력,2024-01-08 02:00:00,2024-01-08 03:00:00,9670.152
경주풍력,2024-01-08 03:00:00,2024-01-08 04:00:00,9912.762
경주풍력,2024-01-08 04:00:00,2024-01-08 05:00:00,9863.142
경주풍력,2024-01-08 05:00:00,2024-01-08 06:00:00,9545.297
경주풍력,2024-01-08 06:00:00,2024-01-08 07:00:00,8816.272
경주풍력,2024-01-08 07:00:00,2024-01-08 08:00:00,7271.4756
경주풍력,2024-01-08 08:00:00,2024-01-08 09:00:00,4820.757
경주풍력,2024-01-08 09:00:00,2024-01-08 10:00:00,2861.1746
경주풍력,2024-01-08 10:00:00,2024-01-08 11:00:00,1841.427
경주풍력,2024-01-08 11:00:00,2024-01-08 12:00:00,1317.6774
경주풍력,2024-01-08 12:00:00,2024-01-08 13:00:00,1043.9321
경주풍력,2024-01-08 13:00:00,2024-01-08 14:00:00,879.6576
경주풍력,2024-01-08 14:00:00,2024-01-08 15:00:00,788.3643
경주풍력,2024-01-08 15:00:00,2024-01-08 16:00:00,772.2443
경주풍력,2024-01-08 16:00:00,2024-01-08 17:00:00,862.09625
경주풍력,2024-01-08 17:00:00,2024-01-08 18:00:00,1078.8792
경주풍력,2024-01-08 18:00:00,2024-01-08 19:00:00,1519.272
경주풍력,2024-01-08 19:00:00,2024-01-08 20:00:00,2881.678
경주풍력,2024-01-08 20:00:00,2024-01-08 21:00:00,6133.3086
경주풍력,2024-01-08 21:00:00,2024-01-08 22:00:00,8902.218
경주풍력,2024-01-08 22:00:00,2024-01-08 23:00:00,9922.06
경주풍력,2024-01-08 23:00:00,2024-01-09 00:00:00,10298.41
경주풍력,2024-01-09 00:00:00,2024-01-09 01:00:00,11410.183
경주풍력,2024-01-09 01:00:00,2024-01-09 02:00:00,14466.789
경주풍력,2024-01-09 02:00:00,2024-01-09 03:00:00,15311.866
경주풍력,2024-01-09 03:00:00,2024-01-09 04:00:00,15570.429
경주풍력,2024-01-09 04:00:00,2024-01-09 05:00:00,15637.381
경주풍력,2024-01-09 05:00:00,2024-01-09 06:00:00,15599.049
경주풍력,2024-01-09 06:00:00,2024-01-09 07:00:00,15439.618
경주풍력,2024-01-09 07:00:00,2024-01-09 08:00:00,15062.662
경주풍력,2024-01-09 08:00:00,2024-01-09 09:00:00,14235.41
경주풍력,2024-01-09 09:00:00,2024-01-09 10:00:00,12417.552
경주풍력,2024-01-09 10:00:00,2024-01-09 11:00:00,7941.708
경주풍력,2024-01-09 11:00:00,2024-01-09 12:00:00,2726.217
경주풍력,2024-01-09 12:00:00,2024-01-09 13:00:00,1025.6864
경주풍력,2024-01-09 13:00:00,2024-01-09 14:00:00,513.952
경주풍력,2024-01-09 14:00:00,2024-01-09 15:00:00,308.9245
경주풍력,2024-01-09 15:00:00,2024-01-09 16:00:00,216.62415
경주풍력,2024-01-09 16:00:00,2024-01-09 17:00:00,169.89757
경주풍력,2024-01-09 17:00:00,2024-01-09 18:00:00,145.29375
경주풍력,2024-01-09 18:00:00,2024-01-09 19:00:00,134.21484
경주풍력,2024-01-09 19:00:00,2024-01-09 20:00:00,136.39067
경주풍력,2024-01-09 20:00:00,2024-01-09 21:00:00,154.28087
경주풍력,2024-01-09 21:00:00,2024-01-09 22:00:00,188.15709
경주풍력,2024-01-09 22:00:00,2024-01-09 23:00:00,252.91069
경주풍력,2024-01-09 23:00:00,2024-01-10 00:00:00,394.96048
경주풍력,2024-01-10 00:00:00,2024-01-10 01:00:00,6618.2036
경주풍력,2024-01-10 01:00:00,2024-01-10 02:00:00,6780.7207
경주풍력,2024-01-10 02:00:00,2024-01-10 03:00:00,6973.823
경주풍력,2024-01-10 03:00:00,2024-01-10 04:00:00,7090.105
경주풍력,2024-01-10 04:00:00,2024-01-10 05:00:00,7123.371
경주풍력,2024-01-10 05:00:00,2024-01-10 06:00:00,7079.7666
경주풍력,2024-01-10 06:00:00,2024-01-10 07:00:00,6953.0493
경주풍력,2024-01-10 07:00:00,2024-01-10 08:00:00,6767.704
경주풍력,2024-01-10 08:00:00,2024-01-10 09:00:00,6577.9126
경주풍력,2024-01-10 09:00:00,2024-01-10 10:00:00,6427.942
경주풍력,2024-01-10 10:00:00,2024-01-10 11:00:00,6329.755
경주풍력,2024-01-10 11:00:00,2024-01-10 12:00:00,6288.9165
경주풍력,2024-01-10 12:00:00,2024-01-10 13:00:00,6293.5747
경주풍력,2024-01-10 13:00:00,2024-01-10 14:00:00,6334.163
경주풍력,2024-01-10 14:00:00,2024-01-10 15:00:00,6400.382
경주풍력,2024-01-10 15:00:00,2024-01-10 16:00:00,6461.7935
경주풍력,2024-01-10 16:00:00,2024-01-10 17:00:00,6485.8125
경주풍력,2024-01-10 17:00:00,2024-01-10 18:00:00,6446.35
경주풍력,2024-01-10 18:00:00,2024-01-10 19:00:00,6312.152
경주풍력,2024-01-10 19:00:00,2024-01-10 20:00:00,6045.7056
경주풍력,2024-01-10 20:00:00,2024-01-10 21:00:00,5593.0923
경주풍력,2024-01-10 21:00:00,2024-01-10 22:00:00,5011.8975
경주풍력,2024-01-10 22:00:00,2024-01-10 23:00:00,4450.11
경주풍력,2024-01-10 23:00:00,2024-01-11 00:00:00,4076.747
경주풍력,2024-01-11 00:00:00,2024-01-11 01:00:00,11395.871
경주풍력,2024-01-11 01:00:00,2024-01-11 02:00:00,12557.527
경주풍력,2024-01-11 02:00:00,2024-01-11 03:00:00,13413.204
경주풍력,2024-01-11 03:00:00,2024-01-11 04:00:00,13781.94
경주풍력,2024-01-11 04:00:00,2024-01-11 05:00:00,13918.19
경주풍력,2024-01-11 05:00:00,2024-01-11 06:00:00,13950.021
경주풍력,2024-01-11 06:00:00,2024-01-11 07:00:00,13920.968
경주풍력,2024-01-11 07:00:00,2024-01-11 08:00:00,13848.391
경주풍력,2024-01-11 08:00:00,2024-01-11 09:00:00,13736.193
경주풍력,2024-01-11 09:00:00,2024-01-11 10:00:00,13578.497
경주풍력,2024-01-11 10:00:00,2024-01-11 11:00:00,13339.4
경주풍력,2024-01-11 11:00:00,2024-01-11 12:00:00,12968.055
경주풍력,2024-01-11 12:00:00,2024-01-11 13:00:00,12417.914
경주풍력,2024-01-11 13:00:00,2024-01-11 14:00:00,11727.292
경주풍력,2024-01-11 14:00:00,2024-01-11 15:00:00,11094.948
경주풍력,2024-01-11 15:00:00,2024-01-11 16:00:00,10775.147
경주풍력,2024-01-11 16:00:00,2024-01-11 17:00:00,10922.974
경주풍력,2024-01-11 17:00:00,2024-01-11 18:00:00,11502.938
경주풍력,2024-01-11 18:00:00,2024-01-11 19:00:00,12260.237
경주풍력,2024-01-11 19:00:00,2024-01-11 20:00:00,12912.662
경주풍력,2024-01-11 20:00:00,2024-01-11 21:00:00,13315.719
경주풍력,2024-01-11 21:00:00,2024-01-11 22:00:00,13555.047
경주풍력,2024-01-11 22:00:00,2024-01-11 23:00:00,13733.17
경주풍력,2024-01-11 23:00:00,2024-01-12 00:00:00,13878.142
경주풍력,2024-01-12 00:00:00,2024-01-12 01:00:00,12150.026
경주풍력,2024-01-12 01:00:00,2024-01-12 02:00:00,13177.008
경주풍력,2024-01-12 02:00:00,2024-01-12 03:00:00,13863.662
경주풍력,2024-01-12 03:00:00,2024-01-12 04:00:00,14157.581
경주풍력,2024-01-12 04:00:00,2024-01-12 05:00:00,14265.584
경주풍력,2024-01-12 05:00:00,2024-01-12 06:00:00,14285.924
